refactoring,file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
0,\DATASET\abfiles\r9\c34\before\LeftAndRightActivity.java,com.slidingmenu.example.LeftAndRightActivity,class,3,4,1,3,2,3,0,11,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
0,\DATASET\abfiles\r9\c34\before\ViewPagerActivity.java,com.slidingmenu.example.ViewPagerActivity,class,6,7,1,6,2,4,0,10,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,1,1,1,0,1,0,1,1,0,37,1,0
0,\DATASET\abfiles\r9\c34\before\BirdActivity.java,com.slidingmenu.example.fragments.BirdActivity$Anonymous1,anonymous,2,2,0,2,1,1,0,3,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
0,\DATASET\abfiles\r9\c34\before\SampleListFragment.java,com.slidingmenu.example.SampleListFragment,class,8,15,7,8,3,3,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,36,1,1,0,0,0,1,2,2,0,2,1,0,2,0,21,1,0
0,\DATASET\abfiles\r9\c34\before\CustomScaleAnimation.java,com.slidingmenu.example.anim.CustomScaleAnimation$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,-1,0
0,\DATASET\abfiles\r9\c34\before\PropertiesActivity.java,com.slidingmenu.example.PropertiesActivity,class,8,9,1,8,2,3,0,10,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,8,8,0,8,0,8,0,0,58,1,0
0,\DATASET\abfiles\r9\c34\before\ColorFragment.java,com.slidingmenu.example.fragments.ColorFragment,class,6,9,3,6,5,2,0,8,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,21,1,0,1,0,0,2,1,5,0,3,1,0,0,0,26,1,0
0,\DATASET\abfiles\r9\c34\before\CustomSlideAnimation.java,com.slidingmenu.example.anim.CustomSlideAnimation$Anonymous2,anonymous,1,1,0,1,1,1,0,3,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,2,0,2,0,0,0,0,0,4,-1,0
0,\DATASET\abfiles\r9\c34\before\BirdActivity.java,com.slidingmenu.example.fragments.BirdActivity$Anonymous2,anonymous,0,0,0,0,1,1,0,2,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
0,\DATASET\abfiles\r9\c34\before\CustomSlideAnimation.java,com.slidingmenu.example.anim.CustomSlideAnimation$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,2,1,2,0,0,0,0,0,3,-1,0
